Category: All categories
"Bigg Boss: (9/25/23, 1:08 AM - 10/2/23, 1:08 AM, Tamil Nadu)"

TOP
Season,100
Contestants,99
Bigg Boss,71
Bigg Boss - Season 7,56
Bigg Boss Tamil - Season 6,12
Bigg Boss Tamil - Season 5,3
Star Vijay,2
Vijay Varma,2
Voting,2
opening,2
Yugendran,2
Bigg Boss Tamil - Season 4,2
Bigg Boss,2
Poornima Ravi,2
Pradeep Anthony,1
Jovika vijaykumar,1
Malaysia Vasudevan,1
Bigg Boss Tamil - Season 1,1
Bigg Boss,1
Raveena Daha,1
Bava Chelladurai,1
Akshaya Udayakumar,1
Maya Sundarakrishnan,1
Cool Suresh,1
Nixie,<1

RISING
Vijay Varma,Breakout
Poornima Ravi,Breakout
Malaysia Vasudevan,Breakout
Bava Chelladurai,Breakout
Akshaya Udayakumar,Breakout
Maya Sundarakrishnan,Breakout
Cool Suresh,Breakout
Nixie,Breakout
Vichithra,Breakout
Vinusha Devi,Breakout
S. P. Charan,Breakout
Richard Nixon,Breakout
Saravana Vickram,Breakout
Thimiru Pudichavan,Breakout
Aruvi,Breakout
Bharathi Kannamma,Breakout
Dancer,"+4,700%"
Nixen,"+4,550%"
Pradeep Anthony,"+2,150%"
Yugendran,"+2,050%"
Jovika vijaykumar,+200%
Raveena Daha,+180%
Contestants,+50%
Bigg Boss - Season 7,+50%
Season,+40%

